acceptance,encoding,word
1,00000,chair
1,22000,hcair
1,00220,chiar
1,00300,cheir
1,00330,cheer
1,00220,chiar
1,00330,chier
1,00030,chaer
1,00330,chher
1,00001,chaie
1,00330,choer
0,03333,cnwkf
0,11333,vjzjd
0,33333,dnxlg
0,33333,oefms
0,13303,vldig
0,33333,odfmo
0,33133,moslx
0,33333,eorsp
0,33333,mvlsk
0,11333,xjwkf
1,00000,jimmy
1,02200,jmimy
1,10000,kimmy
1,00010,jimny
1,01101,jonmt
1,11101,hunmu
1,11011,kumnt
1,01010,jomny
1,30000,gimmy
1,01122,jonym
1,12222,kmiym
0,10033,kimel
0,00330,jixxy
0,22022,ijmym
0,33300,xxxmy
0,01001,jommt
0,10000,himmy
0,03000,jbmmy
0,00300,jikmy
0,33333,xxxxx
0,33000,xtmmy
1,00000,fruit
1,22000,rfuit
1,00220,friut
1,00310,froot
1,33310,phrut
1,10310,groot
1,00000,fruit
1,00100,fryit
1,00001,fruir
1,10001,druir
1,02200,furit
0,00010,fruut
0,00300,froit
0,10303,droid
0,33300,phrit
0,33310,phrut
0,33310,phoot
0,33310,bhoot
0,33333,apple
0,33330,phret
0,00330,freet
1,00000,think
1,22000,htink
1,22220,htnik
1,30000,dhink
1,00003,thing
1,00300,thenk
1,00220,thnik
1,00022,thikn
1,03000,teink
1,01000,tjink
1,00100,thonk
0,00300,thank
0,10000,rhink
0,10000,yhink
0,10001,yhinj
0,00003,thinn
0,01110,tjomk
0,33333,orgkd
0,03133,tyokt
0,00111,thoml
0,11001,rginj
1,00000,nivea
1,03030,nevia
1,00022,nivae
1,00100,nicea
1,00220,nieva
1,10000,bivea
1,00300,nixea
1,33000,xxvea
1,00022,nivae
1,00030,nivia
1,03330,nveaa
0,03333,naive
0,31331,ponds
0,30000,givea
0,10000,bivea
0,00333,niiii
0,33300,xxxea
0,02222,nviae
0,11111,bocws
0,22000,invea
0,00103,nicei
